swing_id,epoch_ms,time_of_day,swing_type,stroke_name,power
19494,1767493766000,19:29:26,1,forehand,0.29
19495,1767493768000,19:29:28,1,forehand,0.34
19496,1767493770000,19:29:30,1,forehand,0.32
19497,1767493772000,19:29:32,1,forehand,0.36
19498,1767493774000,19:29:34,1,forehand,0.37
19499,1767493776000,19:29:36,1,forehand,0.36
19500,1767493778000,19:29:38,1,forehand,0.35
19501,1767493779000,19:29:39,1,forehand,0.36
19502,1767493781000,19:29:41,1,forehand,0.4
19503,1767493783000,19:29:43,1,forehand,0.46
19504,1767493790000,19:29:50,1,forehand,0.29
19505,1767493792000,19:29:52,2,backhand,0.3
19506,1767493795000,19:29:55,2,backhand,0.27
19507,1767493797000,19:29:57,2,backhand,0.32
19508,1767493799000,19:29:59,2,backhand,0.34
19509,1767493801000,19:30:01,2,backhand,0.33
19510,1767493803000,19:30:03,2,backhand,0.33
19511,1767493805000,19:30:05,1,forehand,0.35
19512,1767493807000,19:30:07,2,backhand,0.33
19513,1767493809000,19:30:09,1,forehand,0.44
19514,1767494064000,19:34:24,1,forehand,0.31
19515,1767494065000,19:34:25,1,forehand,0.34
19516,1767494067000,19:34:27,1,forehand,0.34
19517,1767494069000,19:34:29,2,backhand,0.34
19518,1767494071000,19:34:31,1,forehand,0.34
19519,1767494072000,19:34:32,2,backhand,0.37
19520,1767494074000,19:34:34,2,backhand,0.38
19521,1767494076000,19:34:36,2,backhand,0.35
19522,1767494078000,19:34:38,2,backhand,0.38
19523,1767494080000,19:34:40,2,backhand,0.4
19524,1767494086000,19:34:46,2,backhand,0.29
19525,1767494089000,19:34:49,2,backhand,0.31
19526,1767494091000,19:34:51,2,backhand,0.33
19527,1767494094000,19:34:54,2,backhand,0.34
19528,1767494096000,19:34:56,2,backhand,0.32
19529,1767494098000,19:34:58,2,backhand,0.35
19530,1767494100000,19:35:00,2,backhand,0.37
19531,1767494102000,19:35:02,2,backhand,0.31
19532,1767494104000,19:35:04,1,forehand,0.33
19533,1767494106000,19:35:06,2,backhand,0.39
19534,1767494108000,19:35:08,2,backhand,0.39
19535,1767494135000,19:35:35,3,serve,0.75
19536,1767494147000,19:35:47,3,serve,0.66
19537,1767494152000,19:35:52,3,serve,0.79
19538,1767494163000,19:36:03,3,serve,0.65
19539,1767494175000,19:36:15,3,serve,0.81
19540,1767494181000,19:36:21,3,serve,0.71
19541,1767494186000,19:36:26,3,serve,0.72
19542,1767494197000,19:36:37,3,serve,0.75
19543,1767494206000,19:36:46,3,serve,0.71
